category_id,category_code
1487580010695884882,accessories.bag
1921723506584715388,accessories.cosmetic_bag
1487580012071616651,apparel.glove
2007399943458784057,apparel.glove
1783999067181810204,appliances.environment.air_conditioner
1487580008221246441,appliances.environment.air_conditioner
1487580006350586771,appliances.environment.vacuum
1487580008070251489,appliances.personal.hair_cutter
2235524499216793855,appliances.personal.massager
1487580011970953351,furniture.bathroom.bath
2193074740686488401,furniture.bathroom.bath
2018287324474901238,furniture.bathroom.bath
1487580012759482531,furniture.bathroom.bath
1487580012147114126,furniture.bathroom.bath
2193074740619379535,furniture.living_room.cabinet
2022622168218599898,furniture.living_room.chair
1487580012549767321,sport.diving
1487580013053083824,stationery.cartrige
